Origem,Valor ,Destino,Directed,At,From,To,Direct,Amount,Descrição,Fonte,,
PETROBRÁS,"3,5 bilhões",ALUMINI,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,5 bilhões",ANDRADE GUTIERREZ,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,04 bilhão",ENGEVIX,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,7 bilhão",GDK,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"3,2 bilhões",IESA,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,9 bilhão",MENDES JUNIOR,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"24,2 bilhões",ODEBRECHT,,,,,TRUE,100000000000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,121 milhões,PROMON,,,,,TRUE,100,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,2 bilhões",QUEIROZ GALVÃO,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"1,8 bilhão",SKANSKA,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,47 bilhões",TECHINT,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,"2,9 bilhões",TOYO,,,,,TRUE,100000,Contrato,Ver aba Petrobrás,,
PETROBRÁS,740 mil,UTC,,,,,TRUE,100,Contrato,Ver aba Petrobrás,,
ANDRADE GUTIERREZ,"1,3 milhões",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"11,2 mil",PC do B,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,800 mil,PMDB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"11,6 milhões",PMDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"1,7 milhão",PP,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,650 mil,PR,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"2,5 milhões",PSB,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"1,2 milhão",PSD,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,350 mil,PSD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"26,3 milhões",PSDB,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"34,7 milhões",PT,,,,,TRUE,100000000000,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,"1,3 milhão",PTN,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,100 mil,PV,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
ANDRADE GUTIERREZ,550 mil,SD,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
CAMARGO CORREA,"1,5 milhão",DEM,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
CAMARGO CORREA,2 milhões,PT,,,,,TRUE,100,Doação ao Partido,Ver aba Doações Oficiais,,
COESA,250 mil,DEM,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
COESA,250 mil,PSB,,,,,TRUE,1,Doação ao Partido,Ver aba Doações Oficiais,,
