Empresa,Multa (R$),Fonte,Link complementar
ANDRADE GUTIERREZ,"1.000.000.000,00",http://g1.globo.com/pr/parana/noticia/2016/05/justica-homologa-acordo-de-leniencia-de-r-1-bi-com-andrade-gutierrez.html,http://g1.globo.com/pr/parana/noticia/2015/11/andrade-gutierrez-fecha-acordo-e-deve-pagar-multa-de-r-1-bilhao.html
MENDES JUNIOR,"1.000.000.000,00",https://oglobo.globo.com/brasil/governo-cobra-11-bilhoes-de-empresas-envolvidas-na-lava-jato-19394255,
QUEIROZ GALVÃO,"1.000.000.000,00",http://politica.estadao.com.br/blogs/fausto-macedo/lava-jato-insiste-na-cobranca-de-r-1-bilhao-da-galvao-engenharia/,
JBS,"10.300.000.000,00",http://agenciabrasil.ebc.com.br/politica/noticia/2017-05/controladora-da-jbs-fecha-acordo-de-leniencia-com-multa-de-r-103-bilhoes,http://epocanegocios.globo.com/Empresa/noticia/2017/05/controladora-da-jbs-fecha-acordo-de-leniencia-com-multa-de-r-103-bilhoes.html
SETAL,15.000.000.00,"http://economia.estadao.com.br/noticias/geral,multas-de-acordos-de-leniencia-somam-r-8-4-bi-desde-o-comeco-da-lava-jato,10000097206",
ENGEVIX,"539.000.000,00",https://oglobo.globo.com/brasil/governo-cobra-11-bilhoes-de-empresas-envolvidas-na-lava-jato-19394255,
ODEBRECHT,"6.800.000.000,00","http://economia.estadao.com.br/noticias/geral,multas-de-acordos-de-leniencia-somam-r-8-4-bi-desde-o-comeco-da-lava-jato,10000097206",
CAMARGO CORREA,"700.000.000,00",http://g1.globo.com/pr/parana/noticia/2015/08/camargo-correa-firma-acordo-para-devolucao-de-r-700-milhoes.html,http://g1.globo.com/pr/parana/noticia/2016/05/justica-homologa-acordo-de-leniencia-de-r-1-bi-com-andrade-gutierrez.html
OAS,"989.000.000,00",https://oglobo.globo.com/brasil/governo-cobra-11-bilhoes-de-empresas-envolvidas-na-lava-jato-19394255,
UTC,"139.100.000,00",http://g1.globo.com/economia/noticia/andrade-e-utc-vao-pagar-r-195-milhoes-ao-cade-por-participacao-em-cartel.ghtml,
